title,timesCited,year,percentNonCS,numAuths
Hybrid regression test selection,19,2018,7.14285714285714,5
Fine-grained test minimization,4,2018,19.1489361702128,7
FAST approaches to scalable similarity-based test case prioritization,8,2018,3.03030303030303,8
Towards refactoring-aware regression test selection,5,2018,13.5135135135135,10
Inheritance usage patterns in open-source systems,1,2018,3.125,6
Almost there: a study on quasi-contributors in open source software projects,14,2018,7.69230769230769,8
Analyzing a decade of Linux system calls,,2018,0.0,10
To distribute or not to distribute?: why licensing bugs matter,2,2018,46.4285714285714,10
Augusto: exploiting popular functionalities for the generation of semantic GUI tests with Oracles,3,2018,5.88235294117647,7
Towards optimal concolic testing,6,2018,11.3636363636364,10
DeepTest: automated testing of deep-neural-network-driven autonomous cars,158,2018,35.3658536585366,8
Precise concolic unit testing of C programs using extended units and symbolic alarm filtering,6,2018,6.25,7
Spatio-temporal context reduction: a pointer-analysis-based static approach for detecting use-after-free vulnerabilities,7,2018,18.8679245283019,8
Program splicing,3,2018,11.5384615384615,8
Chopped symbolic execution,11,2018,4.65116279069767,8
Perses: syntax-guided program reduction,7,2018,22.7272727272727,9
Secure coding practices in Java: challenges and vulnerabilities,15,2018,49.4252873563218,9
EnMobile: entity-based characterization and analysis of mobile malware,4,2018,13.6363636363636,7
Model comprehension for security risk assessment: an empirical comparison of tabular vs. graphical representations,,2018,0.0,9
Does the propagation of artifact changes across tasks reflect work dependencies?,2,2018,9.09090909090909,6
Large-scale analysis of framework-specific exceptions in Android apps,19,2018,18.4615384615385,12
Effect sizes and their variance for AB/BA crossover design studies,,2018,66.6666666666667,6
A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products,4,2018,7.14285714285714,7
DeFlaker: automatically detecting flaky tests,21,2018,30.1369863013699,10
DetReduce: minimizing Android GUI test suites for regression testing,1,2018,6.38297872340426,8
Time to clean your test objectives,6,2018,3.44827586206897,10
Prioritizing browser environments for web application test execution,0,2018,22.7272727272727,7
An empirical study of early access games on the steam platform,,2018,0.0,7
On the diffuseness and the impact on maintainability of code smells: a large scale empirical investigation,,2018,0.0,10
Accurate and efficient refactoring detection in commit history,20,2018,13.6986301369863,9
ENTRUST: engineering trustworthy self-adaptive software with dynamic assurance cases,,2018,11.1111111111111,10
Are vulnerabilities discovered and resolved like other defects?,,2018,50.0,9
How modern news aggregators help development communities shape and share knowledge,12,2018,12.0689655172414,11
Adding sparkle to social coding: an empirical study of repository badges in the npm ecosystem,23,2018,9.83606557377049,8
"""Was my contribution fairly reviewed?"": a framework to study the perception of fairness in modern code reviews",,2018,18.6666666666667,10
Collaborative model-driven software engineering: a classification framework and a research map,,2018,0.0,8
Are mutation scores correlated with real fault detection?: a large scale empirical study on the relationship between mutants and real faults,20,2018,6.81818181818182,8
Efficient sampling of SAT solutions for testing,10,2018,15.2173913043478,8
Are fix-inducing changes a moving target?: a longitudinal case study of just-in-time defect prediction,15,2018,0.0,6
Understanding developers' needs on deprecation as a language feature,10,2018,31.25,8
On the dichotomy of debugging behavior among programmers,10,2018,14.9253731343284,8
Measuring program comprehension: a large-scale field study with professionals,18,2018,0.0,10
Data scientists in software teams: state of the art and challenges,18,2018,0.0,8
Dataflow tunneling: mining inter-request data dependencies for request-based applications,2,2018,10.0,6
Launch-mode-aware context-sensitive activity transition analysis,5,2018,3.03030303030303,7
UFO: predictive concurrency use-after-free detection,0,2018,29.1666666666667,5
Collective program analysis,4,2018,4.65116279069767,6
Statistical learning of API fully qualified names in code snippets of online forums,4,2018,20.0,10
When not to comment: questions and tradeoffs with API documentation for C++ projects,0,2018,22.5,8
Deuce: a lightweight user interface for structured editing,1,2018,3.33333333333333,8
From UI design image to GUI skeleton: a neural machine translator to bootstrap mobile GUI implementation,12,2018,23.2142857142857,9
When testing meets code review: why and how developers review tests,8,2018,9.30232558139535,9
Redefining prioritization: continuous prioritization for continuous integration,8,2018,7.14285714285714,7
MAHAKIL: diversity based oversampling approach to alleviate the class imbalance issue in software defect prediction,,2018,0.0,9
On the use of hidden Markov model to predict the time to fix bugs,4,2018,0.0,8
What makes a great manager of software engineers?,7,2018,0.0,10
Older adults and hackathons: a qualitative study,,2018,0.0,10
Do programmers work at night or during the weekend?,8,2018,32.3529411764706,8
Multi-granular conflict and dependency analysis in software engineering based on graph transformation,6,2018,19.047619047619,9
Self-hiding behavior in Android apps: detection and characterization,1,2018,28.125,7
The scent of a smell: an extensive comparison between textual and structural smells,26,2018,0.0,9
ConflictJS: finding and understanding conflicts between JavaScript libraries,6,2018,11.7647058823529,7
Debugging data flows in reactive programs,6,2018,29.5454545454545,7
Do you remember this source code?,4,2018,9.23076923076923,9
Inferring hierarchical motifs from execution traces,6,2018,2.7027027027027,7
A comparison of program comprehension strategies by blind and sighted programmers,,2018,0.0,7
Identifying patch correctness in test-based program repair,25,2018,6.38297872340426,9
How not to structure your database-backed web applications: a study of performance bugs in the wild,8,2018,41.6666666666667,9
Speedoo: prioritizing performance optimization opportunities,2,2018,10.0,11
The evolution of requirements practices in software startups,14,2018,16.6666666666667,9
Traceability in the wild: automatically augmenting incomplete trace links,12,2018,3.33333333333333,9
A temporal permission analysis and enforcement framework for Android,4,2018,12.280701754386,9
Global-aware recommendations for repairing violations in exception handling,,2018,0.0,6
RFC-directed differential testing of certificate validation in SSL/TLS implementations,2,2018,14.5454545454545,8
Symbolic verification of regular properties,0,2018,21.2765957446809,9
Metamorphic testing of RESTful web APIs,,2018,0.0,8
Integrating technical debt management and software quality management processes: a framework and field tests,4,2018,0.0,6
Understanding the factors for fast answers in technical Q&A websites: an empirical study of four stack exchange websites,,2018,0.0,7
Towards reusing hints from past fixes: an exploratory study on thousands of real samples,,2018,0.0,6
Are code examples on an online Q&A forum reliable?: a study of API misuse on stack overflow,31,2018,10.2564102564103,9
Inference of development activities from interaction with uninstrumented applications,,2018,0.0,9
Propagating configuration decisions with modal implication graphs,5,2018,8.88888888888889,9
A combinatorial approach for exposing off-nominal behaviors,3,2018,11.3636363636364,7
Identifying design problems in the source code: a grounded theory,5,2018,6.0,16
Deep code search,35,2018,9.21052631578947,7
Augmenting and structuring user queries to support efficient free-form code search,,2018,0.0,11
FaCoY: a code-to-code search engine,12,2018,9.41176470588235,11
Generalized data structure synthesis,8,2018,9.67741935483871,7
A graph solver for the automated generation of consistent domain-specific models,5,2018,13.8888888888889,7
Automatically finding bugs in a commercial cyber-physical system development tool chain with SLforge,3,2018,5.26315789473684,10
Context-aware conversational developer assistants,7,2018,5.26315789473684,7
"Open source barriers to entry, revisited: a sociotechnical perspective",22,2018,13.1147540983607,14
Testing vision-based control systems using learnable evolutionary algorithms,19,2018,11.1111111111111,8
To preserve or not to preserve invalid solutions in search-based software engineering: a case study in software product lines,0,2018,3.8961038961039,6
Nemo: multi-criteria test-suite minimization with integer nonlinear programming,3,2018,11.3636363636364,8
"Is ""better data"" better than ""better data miners""?: on the benefits of tuning SMOTE for defect prediction",33,2018,14.0845070422535,6
Analyzing the effects of test driven development in GitHub,6,2018,0.0,9
A comparative study to benchmark cross-project defect prediction approaches,28,2018,0.0,7
MSeer: an advanced technique for locating multiple bugs in parallel,7,2018,0.0,6
Journal first presentation of an experience report on applying software testing academic results in industry: we need usable automated test generation,,2018,0.0,5
CCAligner: a token based large-gap clone detector,10,2018,7.01754385964912,9
HireBuild: an automatic approach to history-driven repair of build scripts,10,2018,10.0,6
The road to live programming: insights from the practice,5,2018,9.67741935483871,7
Assessing the threat of untracked changes in software evolution,3,2018,13.6363636363636,8
Programming not only by example,0,2018,4.8780487804878,7
Goal-conflict likelihood assessment based on model counting,1,2018,11.6279069767442,10
"A posteriori typing for model-driven engineering: concepts, analysis, and applications",,2018,0.0,6
A static verification framework for message passing in Go using behavioural types,13,2018,18.4210526315789,8
Inferring and asserting distributed system invariants,6,2018,17.8571428571429,7
DroidStar: callback typestates for Android classes,4,2018,7.5,12
Debugging with intelligence via probabilistic inference,0,2018,6.97674418604651,9
Reducer-based construction of conditional verifiers,5,2018,10.3448275862069,8
Challenges and pitfalls on surveying evidence in the software engineering technical literature: an exploratory study with novices,,2018,0.0,7
Statistical errors in software engineering experiments: a preliminary literature review,,2018,13.8297872340426,8
Synthesizing qualitative research in software engineering: a critical review,,2018,7.46268656716418,9
Automatic software repair: a survey,,2018,0.0,7
Search-based test data generation for SQL queries,2,2018,11.1111111111111,9
Multi-objective integer programming approaches for solving optimal feature selection problem: a new perspective on multi-objective optimization problems in SBSE,0,2018,5.66037735849057,6
Automatically generating search heuristics for concolic testing,6,2018,6.45161290322581,8
Semantically enhanced software traceability using deep learning techniques,43,2017,5.79710144927536,6
Can latent topics in source code predict missing architectural tactics?,1,2017,7.40740740740741,7
Analyzing APIs documentation and code to detect directive defects,27,2017,14.6341463414634,9
An unsupervised approach for discovering relevant tutorial fragments for APIs,16,2017,8.57142857142857,7
Detecting user story information in developer-client conversations to generate extractive summaries,11,2017,23.6842105263158,7
Clone refactoring with lambda expressions,15,2017,10.2564102564103,6
Characterizing and detecting anti-patterns in the logging code,20,2017,17.0212765957447,5
Automated refactoring of legacy Java software to default methods,8,2017,26.1904761904762,5
Supporting software developers with a holistic recommender system,11,2017,12.962962962963,10
Recommending and localizing change requests for mobile apps based on user reviews,48,2017,8.06451612903226,10
Machine learning-based detection of open source license exceptions,10,2017,25.531914893617,9
Software development waste,35,2017,26.6666666666667,6
Becoming agile: a grounded theory of agile transitions in practice,38,2017,15.0,5
From diversity by numbers to diversity as process: supporting inclusiveness in software development teams with brainstorming,10,2017,15.2173913043478,6
Classifying developers into core and peripheral: an empirical study on count and network metrics,33,2017,6.06060606060606,7
Decoding the representation of code in the brain: an fMRI study of code review and expertise,25,2017,15.4761904761905,6
"Understanding the impressions, motivations, and barriers of one time code contributors to FLOSS projects: a survey",19,2017,3.2258064516129,6
Search-driven string constraint solving for vulnerability detection,16,2017,26.4150943396226,7
A guided genetic algorithm for automated crash reproduction,16,2017,5.0,6
Stochastic optimization of program obfuscation,10,2017,25.7142857142857,9
ZenIDS: introspective intrusion detection for PHP applications,1,2017,9.25925925925926,5
Statically checking web API requests in JavaScript,17,2017,23.0769230769231,8
On cross-stack configuration errors,11,2017,20.4545454545455,6
Efficient detection of thread safety violations via coverage-guided generation of concurrent tests,17,2017,13.4328358208955,6
RClassify: classifying race conditions in web applications via deterministic replay,8,2017,12.1212121212121,5
Repairing event race errors by controlling nondeterminism,18,2017,12.9032258064516,9
Making malory behave maliciously: targeted fuzzing of android execution environments,26,2017,11.3636363636364,7
A SEALANT for inter-app security holes in android,19,2017,14.2857142857143,9
"An efficient, robust, and scalable approach for analyzing interacting android apps",16,2017,24.2424242424242,8
LibD: scalable and precise third-party library detection in android markets,43,2017,20.5128205128205,11
Analysis and testing of notifications in Android wear applications,18,2017,26.8292682926829,5
Adaptive unpacking of Android apps,30,2017,20.9302325581395,8
Performance diagnosis for inefficient loops,14,2017,8.10810810810811,5
How do developers fix cross-project correlated bugs?: a case study on the GitHub scientific python ecosystem,25,2017,15.3846153846154,8
Feedback-based debugging,15,2017,20.0,8
Learning syntactic program transformations from examples,67,2017,20.4545454545455,11
Precise condition synthesis for program repair,91,2017,8.33333333333333,10
Heuristically matching solution spaces of arithmetic formulas to efficiently reuse solutions,6,2017,5.26315789473684,6
Exploring API embedding for API usages and applications,41,2017,12.5,7
Unsupervised software-specific morphological forms inference from informal discussions,17,2017,16.0714285714286,6
SPAIN: security patch analysis for binaries towards understanding the pain and pills,12,2017,9.52380952380952,8
Travioli: a dynamic analysis for detecting data-structure traversals,,2017,24.1379310344828,5
ProEva: runtime proactive performance evaluation based on continuous-time markov chains,6,2017,10.8108108108108,7
Glacier: transitive class immutability for Java,17,2017,30.4347826086957,8
Challenges for static analysis of Java reflection: literature review and empirical study,,2017,10.126582278481,6
Machine-learning-guided selectively unsound static analysis,14,2017,4.76190476190476,6
How good is a security policy against real breaches?: a HIPAA case study,9,2017,4.8780487804878,8
Adaptive coverage and operational profile-based testing for reliability improvement,3,2017,8.82352941176471,7
RADAR: a lightweight tool for requirements and architecture decision analysis,13,2017,11.1111111111111,5
PEoPL: projectional editing of product lines,10,2017,19.3548387096774,6
Do developers read compiler error messages?,29,2017,12.5,10
A general framework for dynamic stub injection,1,2017,9.09090909090909,7
"An empirical study on mutation, statement and branch coverage fault revelation that avoids the unreliable clean program assumption",53,2017,1.78571428571429,7
Evaluating and improving fault localization,90,2017,6.12244897959184,11
Syntactic and semantic differencing for combinatorial models of test designs,4,2017,18.1818181818182,5
Balancing soundness and efficiency for practical testing of configurable systems,9,2017,14.6341463414634,6
Automatic text input generation for mobile testing,21,2017,36.6666666666667,9
A test-suite diagnosability metric for spectrum-based fault localization approaches,22,2017,10.5263157894737,6
Automated transplantation and differential testing for clones,15,2017,8.0,5
Code defenders: crowdsourcing effective tests and subtle mutants with a mutation testing game,15,2017,7.54716981132075,7
Optimizing test placement for module-level regression testing,11,2017,18.1818181818182,8
Learning to prioritize test programs for compiler testing,14,2017,14.1025641025641,9
What causes my test alarm?: automatic cause analysis for test alarms in system and integration testing,15,2017,10.0,7
Symbolic model extraction for web application verification,6,2017,21.4285714285714,5
UML diagram refinement (focusing on class- and use case diagrams),2,2017,16.6666666666667,5
Fuzzy fine-grained code-history analysis,6,2017,10.0,5
To type or not to type: quantifying detectable bugs in JavaScript,18,2017,24.5283018867925,6
The evolution of continuous experimentation in software product development: from data to a data-driven organization at scale,46,2017,7.69230769230769,7
PRADA: prioritizing android devices for apps by mining large-scale usage data,29,2016,8.82352941176471,11
Release planning of mobile apps based on user reviews,99,2016,13.6363636363636,8
Toward a framework for detecting privacy policy violations in android application code,55,2016,12.8205128205128,11
Mining sandboxes,28,2016,16.2162162162162,6
Generating performance distributions via probabilistic symbolic execution,21,2016,5.26315789473684,6
Performance issues and optimizations in JavaScript: an empirical study,38,2016,2.27272727272727,5
Reliability of Run-Time Quality-of-Service evaluation using parametric model checking,17,2016,6.45161290322581,6
Optimizing selection of competing services with probabilistic hierarchical refinement,13,2016,17.1428571428571,10
The emerging role of data scientists on software development teams,68,2016,8.16326530612245,7
Belief & evidence in empirical software engineering,75,2016,10.1694915254237,6
Grounded theory in software engineering research: a critical review and guidelines,,2016,12.0,6
"On the techniques we create, the tools we build, and their misalignments: a study of KLEE",11,2016,15.3846153846154,6
Guiding dynamic symbolic execution toward unverified program executions,39,2016,12.5,6
Synthesizing framework models for symbolic execution,24,2016,5.26315789473684,8
Type-aware concolic testing of JavaScript programs,11,2016,3.2258064516129,6
An empirical comparison of compiler testing techniques,25,2016,16.1290322580645,10
Termination-checking for LLVM peephole optimizations,6,2016,10.2564102564103,5
Finding and analyzing compiler warning defects,17,2016,17.1428571428571,6
iDice: problem identification for emerging issues,7,2016,6.66666666666667,7
Energy profiles of Java collections classes,67,2016,8.88888888888889,9
An empirical study of practitioners' perspectives on green software engineering,61,2016,13.3333333333333,11
Automated energy optimization of HTTP requests for mobile applications,57,2016,14.2857142857143,7
Too long; didn't watch!: extracting relevant fragments from software development video tutorials,34,2016,4.65116279069767,12
Overcoming open source project entry barriers with a portal for newcomers,49,2016,11.7647058823529,7
Work practices and challenges in pull-based development: the contributor's perspective,95,2016,20.8333333333333,6
Automatically learning semantic features for defect prediction,146,2016,14.4927536231884,6
Cross-project defect prediction using a connectivity-based unsupervised classifier,92,2016,9.23076923076923,7
Automated parameter optimization of classification techniques for defect prediction models,126,2016,15.625,7
AntMiner: mining more bugs by reducing noise interference,18,2016,13.3333333333333,9
Program synthesis using natural language,33,2016,16.0714285714286,11
SWIM: synthesizing what i mean: code search and idiomatic snippet synthesis,55,2016,11.1111111111111,6
Cross-supervised synthesis of web-crawlers,5,2016,17.5,6
Automatic model generation from documentation for Java API functions,22,2016,6.89655172413793,10
Augmenting API documentation with insights from stack overflow,84,2016,10.2564102564103,5
From word embeddings to document similarities for improved information retrieval in software engineering,98,2016,15.2173913043478,8
Learning API usages from bytecode: a statistical approach,22,2016,4.76190476190476,7
"On the ""naturalness"" of buggy code",89,2016,14.8148148148148,9
Code anomalies flock together: exploring code anomaly agglomerations for locating design problems,40,2016,13.3333333333333,8
Using (bio)metrics to predict code quality online,19,2016,20.8955223880597,5
CUSTODES: automatic spreadsheet cell clustering and smell detection using strong and weak features,119,2016,10.4166666666667,7
"Disseminating architectural knowledge on open-source projects: a case study of the book ""architecture of open-source applications""",6,2016,9.25925925925926,5
Identifying and quantifying architectural debt,39,2016,10.7142857142857,8
Decoupling level: a new metric for architectural maintenance complexity,30,2016,7.69230769230769,8
On the limits of mutation reduction strategies,27,2016,17.3076923076923,8
Comparing white-box and black-box test prioritization,83,2016,22.0588235294118,8
How does regression test prioritization perform in real-world software evolution?,39,2016,15.3846153846154,10
The impact of test case summaries on bug fixing performance: an empirical investigation,50,2016,16.0714285714286,8
Reducing combinatorics in GUI testing of android applications,54,2016,15.1515151515152,8
MobiPlay: a remote execution based record-and-replay tool for mobile applications,37,2016,21.7391304347826,7
VDTest: an automated framework to support testing for virtual devices,1,2016,21.2121212121212,6
Automated test suite generation for time-continuous simulink models,41,2016,28.5714285714286,7
Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation,7,2016,9.83606557377049,7
Multi-objective software effort estimation,71,2016,20.0,6
A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering,64,2016,7.69230769230769,8
A comparison of 10 sampling algorithms for configurable systems,67,2016,8.62068965517241,8
Featured model-based mutation analysis,36,2016,4.76190476190476,9
Feature-model interfaces: the highway to compositional analyses of highly-configurable systems,32,2016,5.76923076923077,8
How does the degree of variability affect bug finding?,41,2016,11.4285714285714,6
Angelix: scalable multiline program patch synthesis via symbolic analysis,199,2016,7.69230769230769,6
An analysis of the search spaces for generate and validate patch generation systems,75,2016,9.75609756097561,5
PAC learning-based verification and model synthesis,11,2016,22.7272727272727,10
StubDroid: automatic inference of precise data-flow summaries for the android framework,33,2016,9.09090909090909,5
Exploring language support for immutability,22,2016,16.6666666666667,9
The evolution of C programming practices: a study of the Unix operating system 1973--2015,8,2016,13.3333333333333,6
An empirical study on the impact of C++ lambdas and programmer experience,28,2016,29.3103448275862,8
Understanding and fixing multiple language interoperability issues: the C/Fortran case,2,2016,26.3157894736842,7
BigDebug: debugging primitives for interactive big data processing in spark,37,2016,0.0,10
Debugging for reactive programming,14,2016,33.3333333333333,5
Revisit of automatic debugging via human focus-tracking analysis,24,2016,5.26315789473684,9
RETracer: triaging crashes by reverse execution from partial memory dumps,28,2016,34.8837209302326,8
"Are ""non-functional"" requirements really non-functional?: an investigation of non-functional requirements in practice",38,2016,0.0,6
Probing for requirements knowledge to stimulate architectural thinking,5,2016,2.08333333333333,10
Risk-driven revision of requirements models,6,2016,8.33333333333333,8
"Discovering ""unknown known"" security requirements",18,2016,17.3913043478261,9
Behavioral log analysis with statistical guarantees,,2015,22.2222222222222,5
Efficient large-scale trace checking using mapreduce,9,2016,14.8148148148148,8
Feedback-directed instrumentation for deployed JavaScript applications,13,2016,9.67741935483871,8
DoubleTake: fast and precise error detection via evidence-based dynamic analysis,19,2016,19.047619047619,6
Automated partitioning of android applications for trusted execution environments,20,2016,23.5294117647059,7
Jumping through hoops: why do Java developers struggle with cryptography APIs?,68,2016,28.125,7
Finding security bugs in web applications using a catalog of access control patterns,17,2016,13.8888888888889,5
"Reference hijacking: patching, protecting and analyzing on unmodified and non-rooted android devices",20,2016,13.1578947368421,10
Building a theory of job rotation in software engineering from an instrumental case study,9,2016,18.4210526315789,7
The challenges of staying together while moving fast: an exploratory study,19,2016,9.61538461538462,5
The sky is not the limit: multitasking across GitHub projects,42,2016,20.3389830508475,10
Quantifying and mitigating turnover-induced knowledge loss: case studies of chrome and a project at avaya,25,2016,31.0344827586207,7
Quality experience: a grounded theory of successful agile projects without dedicated testers,12,2016,13.0434782608696,6
Code review quality: how developers see it,38,2016,14.2857142857143,6
Revisiting code ownership and its relationship with software quality in the scope of modern code review,44,2016,7.40740740740741,7
IntEQ: recognizing benign integer overflows via equivalence checking across multiple precisions,5,2016,37.5,7
Nomen est omen: exploring and exploiting similarities between argument and parameter names,15,2016,6.06060606060606,8
Floating-point precision tuning using blame analysis,28,2016,8.88888888888889,13
Crowdsourcing program preconditions via a classification game,9,2016,3.44827586206897,8
Scalable thread sharing analysis,8,2016,14.2857142857143,4
Fixing deadlocks via lock pre-acquisitions,15,2016,10.1694915254237,5
Coverage-driven test code generation for concurrent classes,11,2016,20.3389830508475,5
Locking discipline inference and checking,9,2016,13.0434782608696,8
Improving refactoring speed by 10X,17,2016,11.3636363636364,7
SourcererCC: scaling code clone detection to big-code,129,2016,9.75609756097561,8
Understanding asynchronous interactions in full-stack JavaScript,26,2016,8.82352941176471,6
Shadow of a doubt: testing for divergences between software versions,21,2016,12.9032258064516,6
Mining the metadata: and its consequences,,2015,0.0,4
Views on internal and external validity in empirical software engineering,108,2015,8.33333333333333,6
Developing and evaluating software engineering process theories,11,2015,14.0845070422535,4
Automated data structure generation: refuting common wisdom,6,2015,26.3157894736842,6
Automated modularization of GUI test cases,4,2015,13.3333333333333,6
Making system user interactive tests repeatable: when and what should we control?,19,2015,15.3846153846154,8
ZoomIn: discovering failures by detecting wrong assertions,7,2015,29.4117647058824,5
Composite constant propagation: application to Android inter-component communication analysis,143,2015,11.9047619047619,8
Static control-flow analysis of user-driven callbacks in Android applications,120,2015,22.2222222222222,8
Truth in advertising: the hidden cost of mobile ads for software developers,80,2015,0.0,7
Interactive code review for systematic changes,40,2015,11.3636363636364,7
Automated decomposition of build targets,22,2015,9.09090909090909,7
Helping developers help themselves: automatic decomposition of code review changesets,66,2015,29.1666666666667,7
Data-delineation in software binaries and its application to buffer-overrun discovery,8,2015,24.1379310344828,9
Measuring software redundancy,21,2015,5.55555555555556,6
Gray computing: an analysis of computing with background JavaScript tasks,8,2015,20.0,7
Presence-condition simplification in highly configurable systems,27,2015,8.33333333333333,9
Symbolic model checking of product-line requirements using SAT-based methods,12,2015,28.0,7
Lightweight adaptive filtering for efficient learning and updating of probabilistic models,35,2015,17.0212765957447,6
Tempura: temporal dimension for IDEs,4,2015,7.31707317073171,6
Supporting selective undo in a code editor,33,2015,23.6842105263158,5
Cascade: a universal programmer-assisted type qualifier inference tool,9,2015,15.9090909090909,7
RECONTEST: effective regression testing of concurrent programs,25,2015,16.3265306122449,6
A synergistic analysis method for explaining failed regression tests,11,2015,18.4210526315789,8
An information retrieval approach for regression test prioritization based on program changes,63,2015,20.8955223880597,7
IccTA: detecting inter-component privacy leaks in Android apps,350,2015,8.33333333333333,13
Do security patterns really help designers?,34,2015,0.0,6
AppContext: differentiating malicious and benign mobile app behaviors using context,169,2015,19.1489361702128,9
TypeDevil: dynamic type inconsistency analysis for JavaScript,43,2015,11.1111111111111,6
Detecting inconsistencies in JavaScript MVC applications,29,2015,20.0,6
AutoCSP: automatically retrofitting CSP to web applications,20,2015,23.3333333333333,6
How much up-front?: a grounded theory of agile architecture,25,2015,13.4615384615385,6
Work practices and challenges in pull-based development: the integrator's perspective,152,2015,4.16666666666667,7
Build it yourself!: homegrown tools in a large software company,11,2015,20.0,6
Morpheus: variability-aware refactoring in the wild,34,2015,12.9032258064516,8
Does automated refactoring obviate systematic editing?,44,2015,5.88235294117647,7
When and why your code starts to smell bad,140,2015,7.84313725490196,10
Learning to log: helping developers make informed logging decisions,73,2015,27.6595744680851,9
Mining apps for abnormal usage of sensitive data,155,2015,0.0,10
Tracking static analysis violations over time to capture developer characteristics,14,2015,10.7142857142857,11
DirectFix: looking for simple program repairs,171,2015,7.5,6
Safe memory-leak fixing for C programs,55,2015,12.5,11
relifix: automated repair of software regressions,81,2015,40.0,5
The art of testing less without sacrificing quality,62,2015,6.45161290322581,7
"No PAIN, no gain?: the utility of PArallel fault INjections",23,2015,5.71428571428571,8
A flexible and non-intrusive approach for computing complex structural coverage metrics,8,2015,23.6842105263158,8
Combining multi-objective search and constraint solving for configuring large software product lines,97,2015,3.7037037037037,7
A genetic algorithm for detecting significant floating-point inaccuracies,18,2015,17.6470588235294,9
Learning combinatorial interaction test generation strategies using hyperheuristic search,69,2015,15.0,7
Borrowing from the crowd: a study of recombination in software design competitions,25,2015,12.5,8
From developer networks to verified communities: a fine-grained approach,37,2015,14.7058823529412,8
Open source-style collaborative development practices in commercial projects using GitHub,49,2015,10.2040816326531,8
Database-backed program analysis for scalable error propagation,7,2015,12.3287671232877,6
Tricorder: building a program analysis ecosystem,103,2015,23.3333333333333,8
Alloy*: a general-purpose higher-order relational constraint solver,50,2015,9.75609756097561,7
DASE: document-assisted symbolic execution for improving automated software testing,20,2015,18.0327868852459,8
Compositional symbolic execution with memoized replay,19,2015,20.8333333333333,7
Regular property guided dynamic symbolic execution,21,2015,25.0,8
Combining symbolic execution and model checking for data flow testing,30,2015,10.0,8
Are students representatives of professionals in software engineering experiments?,130,2015,23.3333333333333,6
Why good developers write bad code: an observational case study of the impacts of organizational factors on software quality,31,2015,8.0,5
Stuck and frustrated or in flow and happy: sensing developers' emotions and progress,85,2015,25.7575757575758,5
What makes a great software engineer?,47,2015,18.9189189189189,6
Efficient scalable verification of LTL specifications,8,2015,14.2857142857143,6
Empirical study towards a leading indicator for cost of formal software verification,18,2015,11.1111111111111,9
Specifying event-based systems with a counting fluent temporal logic,5,2015,12.1212121212121,7
Coexecutability for efficient verification of data model updates,5,2015,13.6363636363636,5
Assert use in GitHub projects,31,2015,16.0,8
A programming model for sustainable software,24,2015,25.0,6
A comparative study of programming languages in Rosetta code,70,2015,9.67741935483871,5
Revisiting the impact of classification techniques on the performance of defect prediction models,166,2015,12.3076923076923,6
LACE2: better privacy-preserving data sharing for cross project defect prediction,41,2015,4.65116279069767,6
The impact of mislabelling on the performance and interpretation of defect prediction models,56,2015,6.0,8
ReCBuLC: reproducing concurrency bugs using local clocks,11,2015,22.2222222222222,13
Dynamic generation of likely invariants for multithreaded programs,6,2015,22.4137931034483,6
GPredict: generic predictive concurrency analysis,22,2015,19.4444444444444,6
Graph-based statistical language model for code,85,2015,15.7894736842105,5
Discovering information explaining API types using text classification,42,2015,16.1290322580645,6
How can I use this method?,65,2015,19.047619047619,8
Hercules: reproducing crashes in real-world application binaries,20,2015,6.45161290322581,7
Caramel: detecting and fixing performance problems that have non-intrusive fixes,80,2015,10.0,7
An empirical study on real bug fixes,77,2015,17.7777777777778,5
Does the failing test execute a single or multiple faults?: an approach to classifying failing tests,6,2015,2.17391304347826,6
"Trivial compiler equivalence: a large scale empirical study of a simple, fast and effective equivalent mutant detection technique",115,2015,12.5,7
Dynamic data flow testing of object oriented systems,25,2015,9.09090909090909,7
Enron's spreadsheets and related emails: a dataset and analysis,,2015,28.9473684210526,5
An empirical study on quality issues of production big data platform,,2015,13.7931034482759,9
Code reviews do not find bugs: how the current code review best practice slows us down,27,2015,0.0,6
Systematic testing of reactive software with non-deterministic events: a case study on LG electric oven,,2015,23.5294117647059,8
Empirically detecting false test alarms using association rules,,2015,6.81818181818182,5
Striving for failure: an industrial case study about test failure prediction,,2015,12.0,6
Automatic and continuous software architecture validation,,2015,15.7894736842105,5
Comparing software architecture recovery techniques using accurate dependencies,,2015,3.125,10
SPF: a middleware for social interaction in mobile proximity environments,,2015,31.5789473684211,9
Merits of organizational metrics in defect prediction: an industrial replication,,2015,8.33333333333333,9
Online defect prediction for imbalanced data,,2015,24.5283018867925,7
Measuring dependency freshness in software systems,,2015,6.66666666666667,7
A large-scale technology evaluation study: effects of model-based analysis and testing,,2015,16.6666666666667,8
Metamorphic model-based testing applied on NASA DAT: an experience report,37,2015,41.6666666666667,7
"Improving predictability, efficiency and trust of model-based proof activity",,2015,10.0,7
Performance analysis using subsuming methods: an industrial case study,,2015,4.34782608695652,8
An industrial case study on the automated detection of performance regressions in heterogeneous environments,,2015,15.1515151515152,9
