title|citation|isCS
Proof of an achievable bound on the length of a conditional diagnostic experiment for a finite automaton|I. K. Rystsov. 1976. Proof of an achievable bound on the length of a conditional diagnostic experiment for a finite automaton. Cybernetics 12, 3 (1976), 354--356.|1
Moving fast with software verification|C. Calcagno, D. Distefano, J. Dubreil, D. Gabi, P. Hooimeijer, M. Luca, P. W. O’Hearn, I. Papakonstantinou, J. Purbrick, and D. Rodriguez. Moving fast with software verification. In NFM, volume 9058 of LNCS, pages 3–11. Springer, 2015.|1
Framework design guidelines. https://msdn.microsoft.com/en-us/library/ms229031(v=vs.110).aspx. Accessed Feb|Microsoft Corp. Framework design guidelines. https://msdn.microsoft.com/en-us/library/ms229031(v=vs.110).aspx. Accessed Feb. 8, 2016.|1
Residual dynamic typestate analysis exploiting static analysis: results to reformulate and reduce the cost of dynamic analysis|Matthew B. Dwyer , Rahul Purandare, Residual dynamic typestate analysis exploiting static analysis: results to reformulate and reduce the cost of dynamic analysis, Proceedings of the twenty-second IEEE/ACM international conference on Automated software engineering, November 05-09, 2007, Atlanta, Georgia, USA  [doi>10.1145/1321631.1321651]|1
"Empowering developers to estimate app energy consumption"", Proc. 18th Annu"|"R. Mittal, A. Kansal, R. Chandra, ""Empowering developers to estimate app energy consumption"", Proc. 18th Annu. Int. Conf. Mobile Comput. Netw., pp. 317-328, 2012."|1
CDE: using system call interposition to automatically create portable software packages|Philip J. Guo , Dawson Engler, CDE: using system call interposition to automatically create portable software packages, Proceedings of the 2011 USENIX conference on USENIX annual technical conference, p.21-21, June 15-17, 2011, Portland, OR|1
Supply Chain Perspectives to Knowledge Management: Research Propositions|K. C. Desouza, A. Chattaraj, and G. Kraft. Supply Chain Perspectives to Knowledge Management: Research Propositions. J. Knowledge Management, 7(3):129--138, 2003.|1
Quantifying information flow with beliefs|Michael R. Clarkson , Andrew C. Myers , Fred B. Schneider, Quantifying information flow with beliefs, Journal of Computer Security, v.17 n.5, p.655-701, October 2009|1
The Chubby lock service for loosely-coupled distributed systems, Proceedings of the 7th symposium on Operating systems design and implementation|Mike Burrows, The Chubby lock service for loosely-coupled distributed systems, Proceedings of the 7th symposium on Operating systems design and implementation, November 06-08, 2006, Seattle, Washington|1
An upper bound on software testing effectiveness|Tsong Yueh Chen , Robert Merkel, An upper bound on software testing effectiveness, ACM Transactions on Software Engineering and Methodology (TOSEM), v.17 n.3, p.1-27, June 2008  [doi>10.1145/1363102.1363107]|1
Automating performance bottleneck detection using search-based application profiling|Du Shen , Qi Luo , Denys Poshyvanyk , Mark Grechanik, Automating performance bottleneck detection using search-based application profiling, Proceedings of the 2015 International Symposium on Software Testing and Analysis, July 13-17, 2015, Baltimore, MD, USA  [doi>10.1145/2771783.2771816]|1
Android Developers Reference,” http://developer.android.com/ reference/packages.html|“Android Developers Reference,” http://developer.android.com/ reference/packages.html.|1
Improving data-flow analysis with path profiles, conference on Programming language design and implementation|Glenn Ammons , James R. Larus, Improving data-flow analysis with path profiles, Proceedings of the ACM SIGPLAN 1998 conference on Programming language design and implementation, p.72-84, June 17-19, 1998, Montreal, Quebec, Canada  [doi>10.1145/277650.277665]|1
Tycho Andersen , Thomas Reps, Directed proof generation for machine code|Aditya Thakur , Junghee Lim , Akash Lal , Amanda Burton , Evan Driscoll , Matt Elder , Tycho Andersen , Thomas Reps, Directed proof generation for machine code, Proceedings of the 22nd international conference on Computer Aided Verification, July 15-19, 2010, Edinburgh, UK  [doi>10.1007/978-3-642-14295-6_27]|1
On the Theory of Scales of Measurement|"S. Stevens, ""On the Theory of Scales of Measurement,"" Science, vol. 103, no. 2684, pp. 677-680, Jun. 1946."|1
Harman on Software Engineering at Facebook Scale. Retrieved from https://research.fb.com/mark-harmon-on-software-engineering-at-facebook-scale/. Accessed|Facebook. 2017. Facebook: Mark Harman on Software Engineering at Facebook Scale. Retrieved from https://research.fb.com/mark-harmon-on-software-engineering-at-facebook-scale/. Accessed: 05-13-2017.|1
Generating aspect code from UML models. 4th Aspect-Orianted Software Development Modeling With UML|Groher, I. and Schulze, S. 2003. Generating aspect code from UML models. In Proceedings of the 4th Aspect-Orianted Software Development Modeling With UML Workshop. F. Akkawi, O. Aldawud, G. Booch, S. Clarke, J. Gray, B. Harrison, M. Kande, D. Stein, P. Tarr, and A. Zakaria Eds.|1
Learning from delayed rewards|C. J. Watkin. 1989. Learning from delayed rewards. 1--14. https://www.cs.rhul.ac.uk/home/chrisw/new_thesis.pdf.|1
Formula-based software debugging|Abhik Roychoudhury and Satish Chandra. 2016. Formula-based software debugging. Commun. ACM 59, 7 (2016).|1
Graph-aided Directed Testing of Android Applications for Checking Runtime Privacy Behaviours|Joseph Chan Joo Keng, Lingxiao Jiang, Tan Kiat Wee, and Rajesh Krishna Balan. 2016. Graph-aided Directed Testing of Android Applications for Checking Runtime Privacy Behaviours. In Proceedings of the 11th International Workshop on Automation of Software Test (AST ’16). ACM, New York, NY, USA, 57–63.|1
Automated testing of healthcare document transformations in the PICASSO interoperability platform|M. Pascale, M. Roselli, U. Rugani, C. Bartolini, A. Bertolino, F. Lonetti, E. Marchetti, and A. Polini. Automated testing of healthcare document transformations in the PICASSO interoperability platform. In Software Engineering in Practice, 2009.|1
Benchmarking program behaviour for detecting malware infection|N. V. Narendra Kumar, H. Shah, and R. K. Shyamasundar. Benchmarking program behaviour for detecting malware infection. In 19th EICAR Annual Conference, 2010.|1
8th Annual State of Agile Survey|"VersionOne, ""8th Annual State of Agile Survey"", VersionOne Inc., Tech. Rep., 2014."|1
Enablers and Inhibitors of Business-IT Alignment|"J. Luftman, R. Papp, T. Brier, ""Enablers and Inhibitors of Business-IT Alignment"", Comm. AIS, vol. 1, no. 3, 1999."|1
Project Decisions: The Art|L. Virine, M. Trumper, Project Decisions: The Art and Science., Oct. 2007.|1
Obtaining valid safety data for software safety measurement and process improvement|Victor R. Basili , Marvin V. Zelkowitz , Lucas Layman , Kathleen Dangle , Madeline Diep, Obtaining valid safety data for software safety measurement and process improvement, Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement, September 16-17, 2010, Bolzano-Bozen, Italy  [doi>10.1145/1852786.1852846]|1
Language composition untangled|Sebastian Erdweg , Paolo G. Giarrusso , Tillmann Rendel, Language composition untangled, Proceedings of the Twelfth Workshop on Language Descriptions, Tools, and Applications, p.1-8, March 31-April 01, 2012, Tallinn, Estonia  [doi>10.1145/2427048.2427055]|1
WSMX - A Semantic Service-Oriented Architecture|Armin Haller , Emilia Cimpian , Adrian Mocan , Eyal Oren , Christoph Bussler, WSMX - A Semantic Service-Oriented Architecture, Proceedings of the IEEE International Conference on Web Services, p.321-328, July 11-15, 2005  [doi>10.1109/ICWS.2005.139]|1
Social Networking Meets Software Development: Perspectives from GitHub|Andrew Begel , Jan Bosch , Margaret-Anne Storey, Social Networking Meets Software Development: Perspectives from GitHub, MSDN, Stack Exchange, and TopCoder, IEEE Software, v.30 n.1, p.52-66, January 2013  [doi>10.1109/MS.2013.13]|1
Differential Fault Analysis of Secret Key Cryptosystems|Eli Biham , Adi Shamir, Differential Fault Analysis of Secret Key Cryptosystems, Proceedings of the 17th Annual International Cryptology Conference on Advances in Cryptology, p.513-525, August 17-21, 1997|1
"Testing input/output partial order automata"" in Testing of Software and Communicating Systems"|"S. Haar, C. Jard, G.-V. Jourdan, ""Testing input/output partial order automata"" in Testing of Software and Communicating Systems, Berlin, Germany:Springer, pp. 171-185, 2007."|1
State-of-the-Art: Software Inspections after 25 years|"Aurum, A., Petersson, H., Wohlin, C., ""State-of-the-Art: Software Inspections after 25 years"", Software Testing, Verification and Reliability, vol. 12, pp. 131--154, 2002"|1
ConTexter: End-User Feedback-Driven Requirements Engineering|"T. Wehrmaker, S. Gärtner, and K. Schneider, ""ConTexter: End-User Feedback-Driven Requirements Engineering,"" 2011. {Online}. Available: http://vimeo.com/twehrmaker/contexter-demonstration"|1
Efficient Rollback-Recovery Technique in Distributed Computing Systems|Ge-Ming Chiu , Cheng-Ru Young, Efficient Rollback-Recovery Technique in Distributed Computing Systems, IEEE Transactions on Parallel and Distributed Systems, v.7 n.6, p.565-577, June 1996  [doi>10.1109/71.506695]|1
Static Specification Analysis for Termination of Specification-Based Data Structure Repair|Brian Demsky , Martin Rinard, Static Specification Analysis for Termination of Specification-Based Data Structure Repair, Proceedings of the 14th International Symposium on Software Reliability Engineering, p.71, November 17-21, 2003|1
AMC: verifying user interface properties for vehicular applications, Proceeding of the 11th annual international conference on Mobile systems, applications, and services|Kyungmin Lee , Jason Flinn , T.J. Giuli , Brian Noble , Christopher Peplin, AMC: verifying user interface properties for vehicular applications, Proceeding of the 11th annual international conference on Mobile systems, applications, and services, June 25-28, 2013, Taipei, Taiwan  [doi>10.1145/2462456.2464459]|1
RADBench: a concurrency bug benchmark suite, Proceedings of the 3rd USENIX conference on Hot topic in parallelism|Nicholas Jalbert , Cristiano Pereira , Gilles Pokam , Koushik Sen, RADBench: a concurrency bug benchmark suite, Proceedings of the 3rd USENIX conference on Hot topic in parallelism, p.2-2, May 26-27, 2011, Berkeley, CA|1
Researcher Bias: the Use of Machine Learning in Software Defect Prediction|M. Shepperd, D. Bowes, and T. Hall. Researcher Bias: the Use of Machine Learning in Software Defect Prediction. Transactions on Software Engineering, 40(6):603--616, 2014.|1
Numerical Optimization. Springer Series in Operations Research and Financial Engineering|J. Nocedal and S. Wright. Numerical Optimization. Springer Series in Operations Research and Financial Engineering. Springer, 2006.|1
standard: Mutation observers. http://dom.spec.whatwg.org/ #mutation-observers. Accessed|MutationObservers. DOM standard: Mutation observers. http://dom.spec.whatwg.org/ #mutation-observers. Accessed: 2015-07-14.|1
A toolset for modelling and verification of gals systems|S. Ramesh, S. Sonalkar, V. Da´ rsilva, N. Chandra R, and B. Vijayalakshmi. A toolset for modelling and verification of gals systems. In Proceedings of the International Conference on Computer Aided Verification, pages 385–387. Springer, 2004.|1
Continuous Integration in Open Source Software Development|A. Deshpande and D. Riehle, Continuous Integration in Open Source Software Development. Boston, MA: Springer US, 2008, pp. 273–280.|1
RClassify: classifying race conditions in web applications via deterministic replay|Lu Zhang , Chao Wang, RClassify: classifying race conditions in web applications via deterministic replay, Proceedings of the 39th International Conference on Software Engineering, May 20-28, 2017, Buenos Aires, Argentina  [doi>10.1109/ICSE.2017.33]|1
"The Google Closure Compiler,"" https://developers.google.com/closure/compiler/, accessed"|"""The Google Closure Compiler,"" https://developers.google.com/closure/compiler/, accessed: 2015-11-28."|1
Change Impact Identification in Object Oriented Software Maintenance|David Chenho Kung , Jerry Gao , Pei Hsia , F. Wen , Yasufumi Toyoshima , Cris Chen, Change Impact Identification in Object Oriented Software Maintenance, Proceedings of the International Conference on Software Maintenance, p.202-211, September 01, 1994|1
SCanDroid: Automated Security Certification of Android Applications|"A. P. Fuchs, A. Chaudhuri, and J. S. Foster, ""SCanDroid: Automated Security Certification of Android Applications,"" Dept. of Computer Science, University of Maryland, Tech. Rep., 2009."|1
Automatic data structure repair for self-healing systems|Brian Demsky and Martin Rinard. Automatic data structure repair for self-healing systems. In In Proceedings of the 1st Workshop on Algorithms and Architectures for Self-Managing Systems, 2003.|1
Predictive Prefetching on the Web and Its Potential Impact in the Wide Area|Christos Bouras, Agisilaos Konidaris, and Dionysios Kostoulas. 2004. Predictive Prefetching on the Web and Its Potential Impact in the Wide Area. World Wide Web 7, 2 (June 2004), 143–179. 87570.7a  [doi>10.1023/B:WWWJ.0000017208.87570.7a]|1
A pattern classification approach to automatic reference oracles for the testing of mesh simplification programs|W. K. Chan , S. C. Cheung , Jeffrey C. F. Ho , T. H. Tse, PAT: A pattern classification approach to automatic reference oracles for the testing of mesh simplification programs, Journal of Systems and Software, v.82 n.3, p.422-434, March, 2009  [doi>10.1016/j.jss.2008.07.019]|1
Domain-specific textual meta-modelling languages for model driven engineering, Proceedings of the 8th European conference on Modelling Foundations and Applications|Juan de Lara , Esther Guerra, Domain-specific textual meta-modelling languages for model driven engineering, Proceedings of the 8th European conference on Modelling Foundations and Applications, p.259-274, July 02-05, 2012, Kgs. Lyngby, Denmark  [doi>10.1007/978-3-642-31491-9_20]|1
Software analytics for mobile applications–insights|"R. Minelli, M. Lanza, ""Software analytics for mobile applications–insights & lessons learned"", Proc. 15th Eur. Conf. Softw. Maintenance Reengineering, pp. 144-153, 2013."|1
Finding Sensor Related Energy Black Holes in Smartphone Applications|Y. Liu, C. Xu, and S. Cheung. Finding Sensor Related Energy Black Holes in Smartphone Applications. In Proceedings of the 2013 IEEE International Conference on Pervasive Computing and Communications, PerCom ’13, pages 2 –10, Washington, DC, USA, 2013. IEEE Computer Society.|1
DRC: a detection tool for dangling references in PHP-based web applications|Hung Viet Nguyen , Hoan Anh Nguyen , Tung Thanh Nguyen , Tien N. Nguyen, DRC: a detection tool for dangling references in PHP-based web applications, Proceedings of the 2013 International Conference on Software Engineering, May 18-26, 2013, San Francisco, CA, USA|1
Static determination of dynamic properties of programs|P. Cousot and R. Cousot. Static determination of dynamic properties of programs. In Proceedings of the 2nd International Symposium on Programming, pages 106--130. Dunod, Paris, France, 1976.|1
Code Smells in iOS Apps: How do they compare to Android?. Engineering and Systems|Sarra Habchi, Geoffrey Hecht, Romain Rouvoy, and Naouel Moha. 2017. Code Smells in iOS Apps: How do they compare to Android?. In Proceedings of the 4th International Conference on Mobile Software Engineering and Systems. IEEE Press, 110–121.|1
Evaluating the Usefulness of IR-based Fault Localization Techniques|Qianqian Wang, Chris Parnin, and Alessandro Orso. 2015. Evaluating the Usefulness of IR-based Fault Localization Techniques. In Proceedings of the 2015 International Symposium on Software Testing and Analysis. ACM, New York, NY, USA, 1–11.|1
Analysis of a complex of statistical variables into principal components|"H. Hotelling, ""Analysis of a complex of statistical variables into principal components,"" Journal of Educational Psychology, vol. 24, no. 6, pp. 417-441, 1933."|0
Combining unit-level symbolic execution and system-level concrete execution for testing nasa software|Corina S. Pǎsǎreanu , Peter C. Mehlitz , David H. Bushnell , Karen Gundy-Burlet , Michael Lowry , Suzette Person , Mark Pape, Combining unit-level symbolic execution and system-level concrete execution for testing nasa software, Proceedings of the 2008 international symposium on Software testing and analysis, July 20-24, 2008, Seattle, WA, USA  [doi>10.1145/1390630.1390635]|1
"Asymptotic efficiency in sequential designs for estimation in the exponential family case"", Sequential Analysis: Design Methods"|"K. Rekab, ""Asymptotic efficiency in sequential designs for estimation in the exponential family case"", Sequential Analysis: Design Methods and Applications, vol. 9, no. 3, pp. 305-315, 1990."|1
Discovering Structured Event Logs from Unstructured Audit Trails for Workflow Mining|Liqiang Geng , Scott Buffett , Bruce Hamilton , Xin Wang , Larry Korba , Hongyu Liu , Yunli Wang, Discovering Structured Event Logs from Unstructured Audit Trails for Workflow Mining, Proceedings of the 18th International Symposium on Foundations of Intelligent Systems, September 14-17, 2009, Prague, Czech Republic  [doi>10.1007/978-3-642-04125-9_47]|1
Checking for language inclusion using simulation preorders|"D. L. Dill, A. J. Hu, H. Wong-Toi, ""Checking for language inclusion using simulation preorders"", Proc. 3rd Int. Workshop Comput. Aided Verification, pp. 255-265, 1991."|1
Managing quality of context in pervasive computing|"Y. Bu, T. Gu, X. Tao, J. Li, S. Chen, J. Lv, ""Managing quality of context in pervasive computing"", Proc. 6th Int. Conf. Quality Softw., pp. 193-200, Oct. 2006."|1
An experiment to assess different defect detection methods for software requirements inspections|Adam A Porter and Lawrence G Votta. 1994. An experiment to assess different defect detection methods for software requirements inspections. In Proceedings of the 16th international conference on Software engineering. IEEE Computer Society Press, 103–112.|1
Formal verification of SystemC by automatic hardware/software partitioning|D. Kroening , N. Sharygina, Formal verification of SystemC by automatic hardware/software partitioning, Proceedings of the 2nd ACM/IEEE International Conference on Formal Methods and Models for Co-Design, p.101-110, July 11-14, 2005  [doi>10.1109/MEMCOD.2005.1487900]|1
Test data generation with a kalman filter-based adaptive genetic algorithm|A. Aleti and L. Grunske. Test data generation with a kalman filter-based adaptive genetic algorithm. The Journal of Systems & Software, 103(Complete):343––352, 2015.|1
Categorical Data Analysis|A. Agresti. 2002. Categorical Data Analysis. Wiley-Interscience.  [doi>10.1002/0471249688]|1
Practical Initialization Race Detection for JavaScript Web Applications|Christoffer Quist Adamsen, Anders Møller, and Frank Tip. 2017. Practical Initialization Race Detection for JavaScript Web Applications. In Proc. ACM SIGPLAN Conference on Object-Oriented Programming, Systems, Languages, and Applications (OOPSLA). 66:1–66:22.|1
Software Crash Analysis for Automatic Exploit Generation on Binary Programs|"S.-K. Huang, M.-H. Huang, P.-Y. Huang, H.-L. Lu and C.-W. Lai, ""Software Crash Analysis for Automatic Exploit Generation on Binary Programs,"" Reliability, IEEE Transactions on, vol. 63, pp. 270--289, March 2014."|1
Introducing the Microsoft Visual Studio|K. Uhlenhuth, Introducing the Microsoft Visual Studio C# REPL (Nov 2015). URL https://channel9.msdn.com/Events/Visual-Studio/Connect-event-2015/103|1
An empirical study of PHP feature usage: a static analysis perspective|Mark Hills , Paul Klint , Jurgen Vinju, An empirical study of PHP feature usage: a static analysis perspective, Proceedings of the 2013 International Symposium on Software Testing and Analysis, July 15-20, 2013, Lugano, Switzerland  [doi>10.1145/2483760.2483786]|1
popular hosting cloud services|List of popular hosting cloud services. https://clutch.co/cloud.|1
Neural Substrates of Fluid Reasoning: An fMRI Study of Neocortical Activation During Performance of the Raven’s Progressive|V. Prabhakaran, J. Smith, J. Desmond, G. Glover, and J. Gabrieli. Neural Substrates of Fluid Reasoning: An fMRI Study of Neocortical Activation During Performance of the Raven’s Progressive Matrices Test. Cognitive Psychology, 33(1):43–63, 1996.|1
Symbolic Crosschecking of Data-Parallel Floating-Point Code|Peter Collingbourne , Cristian Cadar , Paul H. J. Kelly, Symbolic Crosschecking of Data-Parallel Floating-Point Code, IEEE Transactions on Software Engineering, v.40 n.7, p.710-737, July 2014  [doi>10.1109/TSE.2013.2297120]|1
Investigating Back Annotation of Timing Information into Dataflow descriptions|Z. Navabi, S. Day, and M. Massoumi. Investigating Back Annotation of Timing Information into Dataflow descriptions. In Proceedings of VHDL International User Forum, pages 185–195, 1992.|1
Concurrent and Real-Time Systems|Schneider, S. 2000. Concurrent and Real-Time Systems. John Wiley and Sons.|1
Automatic generation of polynomial invariants for system verification|"E. R. Carbonell, ""Automatic generation of polynomial invariants for system verification,"" Ph.D. dissertation, Technical University of Catalonia (UPC), Barcelona, 2006."|1
Conflict resolution for on-the-fly change propagation in business processes|"S. Mafazi, W. Mayer, M. Stumptner, ""Conflict resolution for on-the-fly change propagation in business processes"", Proc. 10th Asia-Pacific Conf. Conceptual Model., pp. 39-48, 2014."|0
Low-overhead memory leak detection using adaptive statistical profiling, Proceedings of the 11th international conference on Architectural support for programming languages and operating systems|Matthias Hauswirth , Trishul M. Chilimbi, Low-overhead memory leak detection using adaptive statistical profiling, Proceedings of the 11th international conference on Architectural support for programming languages and operating systems, October 07-13, 2004, Boston, MA, USA  [doi>10.1145/1024393.1024412]|1
Software Estimation: Demystifying the Black Art|Steve McConnell, Software Estimation: Demystifying the Black Art, Microsoft Press, Redmond, WA, 2006|1
Object ownership and containment|David Gerard Clarke, Object ownership and containment, University of New South Wales, New South Wales, Australia, 2003|1
Model-Based Performance Prediction in Software Development: A Survey|Simonetta Balsamo , Antinisca Di Marco , Paola Inverardi , Marta Simeoni, Model-Based Performance Prediction in Software Development: A Survey, IEEE Transactions on Software Engineering, v.30 n.5, p.295-310, May 2004  [doi>10.1109/TSE.2004.9]|1
A survey of intrusion detection techniques for cyber-physical systems|Robert Mitchell , Ing-Ray Chen, A survey of intrusion detection techniques for cyber-physical systems, ACM Computing Surveys (CSUR), v.46 n.4, p.1-29, April 2014  [doi>10.1145/2542049]|1
CIVL: The Concurrency Intermediate Verification Language|Stephen F. Siegel, Manchun Zheng, Ziqing Luo, Timothy K. Zirkel, Andre V. Marianiello, John G. Edenhofner, Matthew B. Dwyer, and Michael S. Rogers. 2015. CIVL: The Concurrency Intermediate Verification Language. In Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis. 61:1–61:12.|1
Sriram Rajamani , Sanjit A. Seshia , Kapil Vaswani, A design and verification methodology for secure isolated regions|Rohit Sinha , Manuel Costa , Akash Lal , Nuno P. Lopes , Sriram Rajamani , Sanjit A. Seshia , Kapil Vaswani, A design and verification methodology for secure isolated regions, Proceedings of the 37th ACM SIGPLAN Conference on Programming Language Design and Implementation, June 13-17, 2016, Santa Barbara, CA, USA  [doi>10.1145/2908080.2908113]|1
Preventing privilege escalation|Niels Provos , Markus Friedl , Peter Honeyman, Preventing privilege escalation, Proceedings of the 12th conference on USENIX Security Symposium, p.16-16, August 04-08, 2003, Washington, DC|1
Bug localization with combination of deep learning and information retrieval|An Ngoc Lam, Anh Tuan Nguyen, Hoan Anh Nguyen, and Tien N. Nguyen. 2017. Bug localization with combination of deep learning and information retrieval. In Proceedings of the 25th International Conference on Program Comprehension, ICPC 2017, Buenos Aires, Argentina, May 22-23, 2017. 218–229.|1
Anquetil, An examination of software engineering work practices, CASCON First Decade High Impact Papers|Janice Singer , Timothy Lethbridge , Norman Vinson , Nicolas Anquetil, An examination of software engineering work practices, CASCON First Decade High Impact Papers, p.174-188, November 01-04, 2010, Toronto, Ontario, Canada  [doi>10.1145/1925805.1925815]|1
Sambamba: a runtime system for online adaptive parallelization|Kevin Streit , Clemens Hammacher , Andreas Zeller , Sebastian Hack, Sambamba: a runtime system for online adaptive parallelization, Proceedings of the 21st international conference on Compiler Construction, March 24-April 01, 2012, Tallinn, Estonia  [doi>10.1007/978-3-642-28652-0_13]|1
Multinomial logistic regression applied on software productivity prediction|P. Sentas, L. Angelis, and I. Stamelos. Multinomial logistic regression applied on software productivity prediction. In 9th Panhellenic Conf. in Inf., 2003.|1
Remote Docker Environment. Retrieved July 17|CircleCI. 2018. Remote Docker Environment. Retrieved July 17, 2018 from https://circleci.com/docs/2.0/building-docker-images/#specifications|1
Efficient data race detection for distributed memory parallel programs|Chang-Seo Park , Koushik Sen , Paul Hargrove , Costin Iancu, Efficient data race detection for distributed memory parallel programs, Proceedings of 2011 International Conference for High Performance Computing, Networking, Storage and Analysis, November 12-18, 2011, Seattle, Washington  [doi>10.1145/2063384.2063452]|1
abstraction the key to computing|Jeff Kramer, Is abstraction the key to computing?, Communications of the ACM, v.50 n.4, p.36-42, April 2007  [doi>10.1145/1232743.1232745]|1
An Overview of 3D Software Visualization|Alfredo R. Teyseyre , Marcelo R. Campo, An Overview of 3D Software Visualization, IEEE Transactions on Visualization and Computer Graphics, v.15 n.1, p.87-105, January 2009  [doi>10.1109/TVCG.2008.86]|1
Editing text versions with layers,” http://homes.cs.washington. edu|M. Nita, “Editing text versions with layers,” http://homes.cs.washington. edu/ ∼ marius/papers/layers/layers-draft.pdf, UW, Tech. Rep., 2010.|1
Logics, automata and classical theories for deciding real-time|Raskin, J.-F. 1999. Logics, automata and classical theories for deciding real-time. Ph.D. thesis, Namur, Belgium.|1
An Introduction to the Bootstrap|B. Efron, R. Tibshirani, An Introduction to the Bootstrap., 1993.|1
Performance estimation using symbolic data, Theories of Programming and Formal Methods: essays dedicated to Jifeng He on the occasion of his 70th birthday|Jian Zhang, Performance estimation using symbolic data, Theories of Programming and Formal Methods: essays dedicated to Jifeng He on the occasion of his 70th birthday, Springer-Verlag, Berlin, Heidelberg, 2013|1
Applying Theory of Reasoned Action in the Context|Passos, C.; Cruzes, D. S.; Mendonça, M. Applying Theory of Reasoned Action in the Context of International Conference on Evaluation and Assessment in Software Engineering. Porto de Galinhas, 2013.|1
Sentiment analysis of commit comments in GitHub: an empirical study|Emitza Guzman , David Azócar , Yang Li, Sentiment analysis of commit comments in GitHub: an empirical study, Proceedings of the 11th Working Conference on Mining Software Repositories, May 31-June 01, 2014, Hyderabad, India  [doi>10.1145/2597073.2597118]|1
Extending JML for modular specification and verification of multi-threaded programs|Edwin Rodríguez , Matthew Dwyer , Cormac Flanagan , John Hatcliff , Gary T. Leavens , Robby, Extending JML for modular specification and verification of multi-threaded programs, Proceedings of the 19th European conference on Object-Oriented Programming, July 25-29, 2005, Glasgow, UK  [doi>10.1007/11531142_24]|1
Challenges of Traceability, Software and Systems|O. Gotel, J. Cleland-Huang, J. Huffman Hayes, and A. Zisman. Grand Challenges of Traceability, Software and Systems Traceabilty, eds. Jane Cleland-Huang, Olly Gotel, and Andrea Zisman, springer verlag. 2012.|1
"Strong typing vs. strong testing,"" in The Best Software Writing I"|"B. Eckel, ""Strong typing vs. strong testing,"" in The Best Software Writing I. Springer, 2005, pp. 67--77."|1
Blinking and mental load|M. K. Holland and G. Tarlow. Blinking and mental load. Psychological Reports, 31(1):119–127, 1972.|1
GitHub repository hosting service|GitHub repository hosting service, https://github.com/.|1
der Kouwe , Vinod Nigade , Cristiano Giuffrida, DangSan: Scalable Use-after-free Detection|Erik van der Kouwe , Vinod Nigade , Cristiano Giuffrida, DangSan: Scalable Use-after-free Detection, Proceedings of the Twelfth European Conference on Computer Systems, April 23-26, 2017, Belgrade, Serbia  [doi>10.1145/3064176.3064211]|1
A multiobjective genetic algorithm for radio network optimization|"H. Meunier, E.-G. Talbi, P. Reininger, ""A multiobjective genetic algorithm for radio network optimization"", Proc. Congr. Evol. Comput., pp. 317-324, 2000."|1
Automatic data structure choice in a language of very high level, Proceedings of the 2nd ACM SIGACT-SIGPLAN symposium on Principles of programming languages|J. T. Schwartz, Automatic data structure choice in a language of very high level, Proceedings of the 2nd ACM SIGACT-SIGPLAN symposium on Principles of programming languages, p.36-40, January 20-22, 1975, Palo Alto, California  [doi>10.1145/512976.512981]|1
LTL Satisfiability Checking Revisited|Jianwen Li , Lijun Zhang , Geguang Pu , Moshe Y. Vardi , Jifeng He, LTL Satisfiability Checking Revisited, Proceedings of the 2013 20th International Symposium on Temporal Representation and Reasoning, p.91-98, September 26-28, 2013  [doi>10.1109/TIME.2013.19]|1
Message sequence chart|ITU-T Z.120. 1999. Message sequence chart (MSC), ITU-T Recommendation Z.120.|0
"genSpace: Exploring Social Networking Metaphors for Knowledge Sharing and Scientific Collaborative Work,"" in 1st Intl"|"C. Murphy, S. Sheth, G. Kaiser, and L. Wilcox, ""genSpace: Exploring Social Networking Metaphors for Knowledge Sharing and Scientific Collaborative Work,"" in 1st Intl. Workshop on Social Software Engg. and Applications, September 2008, pp. 29-36."|1
JPlag: Finding plagiarisms among a set of programs|"L. Prechelt, G. Malpohl, M. Phlippsen, ""JPlag: Finding plagiarisms among a set of programs"", pp. 2000-1, 2000."|1
The Software Process Dashboard Initiative home|The Software Process Dashboard Initiative home page. http://www.processdash.com/.|1
"RESRES: The story behind the paper ""Research in software engineering: An analysis of the literature"|"Robert L. Glass , Iris Vessey , V. Ramesh, RESRES: The story behind the paper ""Research in software engineering: An analysis of the literature"", Information and Software Technology, v.51 n.1, p.68-70, January, 2009  [doi>10.1016/j.infsof.2008.09.015]"|1
The reactive manifesto|Jonas Bonér, Dave Farley, Roland Kuhn, and Martin Thompson. 2014. The reactive manifesto. (2014). http://www.reactivemanifesto.org/pdf/the-reactive-manifesto-2.0.pdf|1
T-closeness: Privacy beyond k-anonymity and l-diversity|N. Li, T. Li, S. Venkatasubramanian. T-closeness: Privacy beyond k-anonymity and l-diversity. In IEEE International Conference on Data Engineering (ICDE), pages 106-115, 2007.|1
Using wikis for collaborative learning|T Judd, G Kennedy, and S Cropper. Using wikis for collaborative learning. Australasian J. of Edu. Tech., 26(3):341--354, 2010.|0
Android application ranklist - All applications|androidrank.org. 2018. Android application ranklist - All applications. (2018). https://www.androidrank.org/listcategory?category=&amp;sort=4&amp;price=all|0
A comparison of three iterative methods for the solution of linear equations|I. B. Kalambi. 2008. A comparison of three iterative methods for the solution of linear equations. Journal of Applied Sciences and Environmental Management 12, 4.|1
