Title,Citation
CodeMatch: obfuscation won't conceal your repackaged app,19
Codebook: discovering and exploiting relationships in software repositories,209
Coexecutability for efficient verification of data model updates,5
Collaborative reliability prediction of service-oriented systems,261
Collective program analysis,4
Combining Centralised and Distributed Testing,11
Combining Genetic Algorithms and Constraint Programming to Support Stress Testing of Task Deadlines,16
Combining Perceptions and Prescriptions in Requirements Engineering Process Assessment: An Industrial Case Study,45
Combining functional and imperative programming for multicore software: an empirical study evaluating Scala and Java,50
Combining multi-objective search and constraint solving for configuring large software product lines,97
Combining search-based and constraint-based testing,70
Combining symbolic execution and model checking for data flow testing,30
Common Trends in Software Fault and Failure Data,131
Comparative causality: explaining the differences between executions,36
Comparing Semi-Automated Clustering Methods for Persona Development,16
Comparing and combining test-suite reduction and regression test selection,50
Comparing multi-point stride coverage and dataflow coverage,20
Comparing static bug finders and statistical prediction,67
Comparing the Defect Reduction Benefits of Code Inspection and Test-Driven Development,30
Comparing white-box and black-box test prioritization,83
Compatibility testing using patterns-based trace comparison,3
Compiling mockups to flexible UIs,15
Complementing global and local contexts in representing API descriptions to improve API retrieval tasks,2
Complete and Interpretable Conformance Checking of Business Processes,33
Complete and accurate clone detection in graph-based models,142
Composing expressive runtime security policies,50
Composite Constant Propagation and its Application to Android Program Analysis,11
Composite constant propagation: application to Android inter-component communication analysis,143
Compositional Control of IP Media,26
Compositional Dependability Evaluation for STATEMATE,49
Compositional Verification for Hierarchical Scheduling of Real-Time Systems,33
Compositional symbolic execution with memoized replay,19
Comprehending module dependencies and sharing,11
Comprehensive failure characterization,1
Computing repair trees for resolving inconsistencies in design models,47
Con2colic testing,59
ConLock: a constraint-based approach to dynamic checking on deadlocks in multithreaded programs,44
ConMem: Detecting Crash-Triggering Concurrency Bugs through an Effect-Oriented Approach,15
Conc-iSE: incremental symbolic execution of concurrent software,20
Concept location using formal concept analysis and information retrieval,88
Conceptual data model-based software size estimation for information systems,37
Concolic testing for deep neural networks,39
Concurrency Debugging with Differential Schedule Projections,22
Concurrency verification with maximal path causality,0
Conditional Commitments: Reasoning and Model Checking,14
Configuring Software Product Lines by Combining Many-Objective Optimization and SAT Solvers,10
ConflictJS: finding and understanding conflicts between JavaScript libraries,6
Conservation of Information: Software’sHidden Clockwork?,9
"Conservative Bounds for the pfd of a 1-out-of-2 Software-Based System Based on an Assessor's Subjective Probability of ""Not Worse Than Independence""",7
"Conservative Reasoning about the Probability of Failure on Demand of a 1-out-of-2 Software-Based System in Which One Channel Is ""Possibly Perfect""",6
Consistency-preserving edit scripts in model versioning,52
Constraint normalization and parameterized caching for quantitative program analysis,3
Constraint-based automatic symmetry detection,5
Constructing parser for industrial software specifications containing formal and natural language description,7
Construction and Validation of an Instrument for Measuring Programming Skill,26
Content classification of development emails,79
Context-Aware Adaptive Applications: Fault Patterns and Their Automated Identification,93
Context-aware conversational developer assistants,7
Context-aware patch generation for better automated program repair,36
Continuous detection of design flaws in evolving object-oriented programs using incremental multi-pattern matching,5
Continuous test generation: enhancing continuous integration with automated test generation,32
Continuous variable-specific resolutions of feature interactions,7
Contract-based program repair without the contracts,31
ContractFuzzer: fuzzing smart contracts for vulnerability detection,23
Control Explicit--Data Symbolic Model Checking,2
Control flow-guided SMT solving for program verification,0
Controlled modeling environment using flexibly-formatted spreadsheets,2
Convergent contemporary software peer review practices,15
Cooperative kernels: GPU multitasking for blocking algorithms,8
Coordination Breakdowns and Their Impact on Development Productivity and Software Failures,106
Coordination Challenges in Large-Scale Software Development: A Case Study of Planning Misalignment in Hybrid Settings,13
Coping with Existing Systems in Information Systems Development,3
Counter play-out: executing unrealizable scenario-based specifications,14
Counterexample Generation in Probabilistic Model Checking,115
Counterexample-guided approach to finding numerical invariants,10
Coupling software architecture and human architecture for collaboration-aware system adaptation,13
Coverage Estimation in Model Checking with Bitstate Hashing,4
Coverage is not strongly correlated with test suite effectiveness,255
Coverage-Aware Test Database Reduction,7
Coverage-driven test code generation for concurrent classes,11
"Cowboys, ankle sprains, and keepers of quality: how is video game development different from software development?",82
Craig vs. Newton in software model checking,5
Creating a shared understanding of testing culture on a social coding site,111
Cross-checking oracles from intrinsic software redundancy,33
Cross-language program slicing for dynamic web applications,28
Cross-project defect prediction using a connectivity-based unsupervised classifier,92
Cross-project defect prediction: a large scale experiment on data vs. domain vs. process,496
Cross-supervised synthesis of web-crawlers,5
Crosscutting revision control system,5
Crossing the gap from imperative to functional programming through refactoring,44
Crossover Designs in Software Engineering Experiments: Benefits and Perils,24
Crowd debugging,28
Crowd intelligence enhances automated mobile testing,14
Crowdsourcing program preconditions via a classification game,9
Customized awareness: recommending relevant external change events,61
Customizing the Representation Capabilities of Process Models: Understanding the Effects of Perceived Modeling Impediments,13
DARWIN: An approach to debugging evolving programs,20
DASE: document-assisted symbolic execution for improving automated software testing,20
"DC2: A framework for scalable, scope-bounded software verification",22
DEC: Service Demand Estimation with Confidence,33
DECAF: A Platform-Neutral Whole-System Dynamic Binary Analysis Platform,17
DECOR: A Method for the Specification and Detection of Code and Design Smells,557
DESCRY: reproducing system-level concurrency failures,7
"DESSERT: a DividE-and-conquer methodology for identifying categorieS, choiceS, and choicE Relations for Test case generation",16
DETERMIN: inferring likely deterministic specifications of multithreaded programs,21
DIG: A Dynamic Invariant Generator for Polynomial and Array Invariants,20
DSIbin: identifying dynamic data structures in C/C++ binaries,5
Dangling references in multi-configuration and dynamic PHP-based web applications,12
Darwin: an approach for debugging evolving programs,106
Darwinian data structure selection,4
Data Mining Techniques for Software Effort Estimation: A Comparative Study,192
"Data Model Property Inference, Verification, and Repair for Web Applications",3
Data Quality: Some Comments on the NASA Software Defect Datasets,219
Data Scientists in Software Teams: State of the Art and Challenges,18
Data clone detection and visualization in spreadsheets,59
Data flow testing of service choreography,52
Data race detection on compressed traces,2
Data scientists in software teams: state of the art and challenges,18
Data-delineation in software binaries and its application to buffer-overrun discovery,8
Data-guided repair of selection statements,26
Database-backed program analysis for scalable error propagation,7
Dataflow tunneling: mining inter-request data dependencies for request-based applications,2
Datalog-based scalable semantic diffing of concurrent programs,1
DeFlaker: automatically detecting flaky tests,21
Dealing with Burstiness in Multi-Tier Applications: Models and Their Parameterization,48
Dealing with Traceability in the MDDof Model Transformations,17
DebugAdvisor: a recommender system for debugging,113
Debugging data flows in reactive programs,6
Debugging for reactive programming,14
Debugging with intelligence via probabilistic inference,0
Deciding Type-Based Partial-Order Constraints for Path-Sensitive Analysis,1
Decoding the representation of code in the brain: an fMRI study of code review and expertise,25
Decoupling level: a new metric for architectural maintenance complexity,30
Deep code search,35
Deep learning based feature envy detection,2
Deep learning code fragments for code clone detection,134
Deep learning type inference,6
DeepGauge: multi-granularity testing criteria for deep learning systems,36
DeepRoad: GAN-based metamorphic testing and input validation framework for autonomous driving systems,30
DeepSim: deep learning code functional similarity,6
DeepTest: automated testing of deep-neural-network-driven autonomous cars,158
Defining and Evaluating a Measure of Open Source Project Survivability,37
Degree-of-knowledge: Modeling a developer's knowledge of code,43
Departures from optimality: understanding human analyst's information foraging in assisted requirements tracing,32
Dependence Guided Symbolic Execution,17
Derailer: interactive security analysis for web applications,15
Deriving Bisimulation Relations from Path Extension Based Equivalence Checkers,1
Deriving a Slicing Algorithm via FermaT Transformations,16
Deriving behavior of multi-user processes from interactive requirements validation,4
Design and implementation of Sator: A web service aggregator,6
Design and optimization of multi-clocked embedded systems using formal technique,57
Design rule spaces: a new form of architecture insight,52
Designing Autonomic Management Systems by Using Reactive Control Techniques,7
DetReduce: minimizing Android GUI test suites for regression testing,1
Detecting JavaScript races that matter,24
Detecting Memory Leaks Statically with Full-Sparse Value-Flow Analysis,34
Detecting Overly Strong Preconditions in Refactoring Engines,5
Detecting Trivial Mutant Equivalences via Compiler Optimisations,23
Detecting and characterizing semantic inconsistencies in ported code,27
Detecting and summarizing GUI changes in evolving mobile apps,1
Detecting and visualizing inter-worksheet smells in spreadsheets,115
Detecting atomic-set serializability violations in multithreaded programs through active randomized testing,85
Detecting bad smells in source code using change history information,155
Detecting deadlock in programs with data-centric synchronization,24
Detecting differences across multiple instances of code clones,39
Detecting event anomalies in event-based systems,38
Detecting fragile comments,8
Detecting inconsistencies in JavaScript MVC applications,29
Detecting information flow by mutating input data,12
Detecting memory leaks through introspective dynamic behavior modelling using machine learning,18
Detecting missing information in bug descriptions,22
Detecting missing method calls as violations of the majority rule,23
Detecting performance anti-patterns for applications developed using object-relational mapping,79
Detecting similar software applications,105
Detecting speech act types in developer question/answer conversations during bug repair,3
Detecting spurious counterexamples efficiently in abstract model checking,17
Detecting the Behavior of Design Patterns through Model Checking and Dynamic Analysis,6
Detecting unknown inconsistencies in web applications,1
Detecting user story information in developer-client conversations to generate extractive summaries,11
"Detecting, Tracing, and Monitoring Architectural Tactics in Code",31
Detection of energy inefficiencies in Android wear watch faces,1
Detection of recurring software vulnerabilities,45
Determining the Cause of a Design Model Inconsistency,23
Deuce: a lightweight user interface for structured editing,1
Developer Micro Interaction Metrics for Software Defect Prediction,25
Developer onboarding in GitHub: the role of prior social links and language experience,47
Developer prioritization in bug repositories,125
Developers ask reachability questions,129
Developing a Single Model and Test Prioritization Strategies for Event-Driven Software,138
Developing and evaluating software engineering process theories,11
Developing next generation ADLs through MDE techniques,45
Development of auxiliary functions: should you be agile? an empirical assessment of pair programming and test-first programming,21
Deviance from perfection is a better criterion than closeness to evil when identifying risky code,70
DiaPro: Unifying Dynamic Impact Analyses for Improved and Variable Cost-Effectiveness,6
Diagnosing assumption problems in safety-critical products,1
Diagnosys: automatic generation of a debugging interface to the Linux kernel,13
Dictionary learning based software defect prediction,93
Differential assertion checking,84
"Differential precondition checking: A lightweight, reusable analysis for refactoring tools",30
DirectFix: looking for simple program repairs,171
Directed Explicit State-Space Search in the Generation of Counterexamples for Stochastic Model Checking,61
Directed Incremental Symbolic Execution,21
Discipline Matters: Refactoring of Preprocessor Directives in the#ifdefHell,15
"Discovering ""unknown known"" security requirements",18
Discovering Multidimensional Correlations among Regulatory Requirements to Understand Risk,13
Discovering Services during Service-Based System Design Using UML,49
Discovering and representing systematic code changes,172
Discovering essential code elements in informal documentation,119
Discovering information explaining API types using text classification,42
Discovering relational specifications,10
Disengagement in pair programming: does it matter?,16
"Disseminating architectural knowledge on open-source projects: a case study of the book ""architecture of open-source applications""",6
DistIA: a cost-effective dynamic impact analysis for distributed programs,8
Distilling privacy requirements for mobile applications,26
Distributed program tracing,3
Diversity in software engineering research,112
Diversity maximization speedup for fault localization,27
Do Android taint analysis tools keep their promises?,6
Do Automatically Generated Test Cases Make Debugging Easier? An Experimental Assessment of Debugging Effectiveness and Efficiency,18
Do all task dependencies require coordination? the role of task properties in identifying critical coordination needs in software projects,15
Do code clones matter?,419
Do developers read compiler error messages?,29
Do programmers work at night or during the weekend?,8
Do security patterns really help designers?,34
Do the dependency conflicts in my project matter?,4
Do we need to handle every temporal violation in scientific workflow systems?,57
Do you remember this source code?,4
Docovery: toward generic automatic document recovery,12
Documenting Design-Pattern Instances: A Family of Experiments on Source-Code Comprehensibility,19
Does Automated Unit Test Generation Really Help Software Testers? A Controlled Empirical Study,42
Does Socio-Technical Congruence Have an Effect on Software Build Success? A Study of Coordination in a Software Project,102
Does Software Process Improvement Reduce the Severity of Defects? A Longitudinal Field Study,52
Does automated refactoring obviate systematic editing?,44
Does bug prediction support human developers? findings from a google case study,74
Does distributed development affect software quality? An empirical case study of Windows Vista,260
Does latitude hurt while longitude kills? geographical and temporal separation in a large scale software development project,10
Does organizing security patterns focus architectural choices?,30
Does the failing test execute a single or multiple faults?: an approach to classifying failing tests,6
Does the propagation of artifact changes across tasks reflect work dependencies?,2
Domain-Specific Service Selection for Composite Services,42
Domain-independent multi-threaded software model checking,3
Dompletion: DOM-aware JavaScript code completion,9
DoubleTake: fast and precise error detection via evidence-based dynamic analysis,19
Drag-and-drop refactoring: intuitive and efficient program transformation,42
DroidStar: callback typestates for Android classes,4
Droidmarking: resilient software watermarking for impeding android application repackaging,38
Dual ecological measures of focus in software development,72
Dual-force: understanding WebView malware via cross-language forced execution,0
Duplicate bug report detection with a combination of information retrieval and topic modeling,141
Dynamic Analysis for Diagnosing Integration Faults,92
Dynamic Dependence Summaries,1
Dynamic QoS Management and Optimization in Service-Based Systems,333
Dynamic Software Project Scheduling through a Proactive-Rescheduling Method,18
Dynamic Software Updating Using a Relaxed Consistency Model,54
Dynamic Testing for Deadlocks via Constraints,12
Dynamic and Automatic Feedback-Based Threshold Adaptation for Code Smell Detection,11
Dynamic and transparent analysis of commodity production systems,54
Dynamic data flow testing of object oriented systems,25
Dynamic generation of likely invariants for multithreaded programs,6
Dynamic injection of sketching features into GEF based diagram editors,6
Dynamic synthesis of local time requirement for service composition,25
Dynamically transforming data structures,3
Dynamite: A tool for the verification of alloy models based on PVS,6
Dynodroid: an input generation system for Android apps,468
EARMO: An Energy-Aware Refactoring Approach for Mobile Apps,11
EDZL Schedulability Analysis in Real-Time Multicore Scheduling,3
EHBDroid: beyond GUI testing for Android applications,16
ELIXIR: effective object oriented program repair,36
Early Detection of Collaboration Conflicts and Risks,61
Early Evaluation of Implementation Alternatives of Composite Data Structures Toward Maintainability,2
Easing software component repository evolution,8
Easy over hard: a case study on deep learning,51
Ecological inference in empirical software engineering,84
Ecosystem-level determinants of sustained activity in open-source projects: a case study of the PyPI ecosystem,5
Effect of Domain Knowledge on Elicitation Effectiveness: An Internally Replicated Controlled Experiment,10
Effective API recommendation without historical software repositories,1
Effective Techniques for Static Race Detection in Java Parallel Loops,9
Effective and precise dynamic detection of hidden races for Java programs,28
Effective dynamic detection of alias analysis errors,13
Effective interprocedural resource leak detection,51
Effective static deadlock detection,175
Effective test suites for mixed discrete-continuous stateflow controllers,16
Effectively Incorporating Expert Knowledge in Automated Software Remodularisation,0
Effectiveness and challenges in generating concurrent tests for thread-safe classes,3
Effects of Developer Experience on Learning and Applying Unit Test-Driven Development,21
Effects of Personality on Pair Programming,141
Effects of using examples on structural model comprehension: a controlled experiment,16
Efficiency and early fault detection with lower and higher strength combinatorial interaction testing,79
Efficient Consistency Measurement Based on Behavioral Profiles of Process Models,248
Efficient Dynamic Updates of Distributed Components Through Version Consistency,9
Efficient Software Verification: Statistical Testing Using Automated Search,59
Efficient and change-resilient test automation: an industrial case study,32
Efficient and reasonable object-oriented concurrency,19
Efficient construction of approximate call graphs for JavaScript IDE services,86
Efficient data race prediction with incremental reasoning on time-stamped lock history,1
Efficient dependency detection for safe Java test acceleration,26
Efficient detection of inconsistencies in a multi-developer engineering environment,5
Efficient detection of thread safety violations via coverage-guided generation of concurrent tests,17
Efficient hybrid typestate analysis by determining continuation-equivalent states,74
Efficient large-scale trace checking using mapreduce,9
Efficient parametric runtime verification with deterministic string rewriting,10
Efficient sampling of SAT solutions for testing,10
Efficient scalable verification of LTL specifications,8
Efficiently manifesting asynchronous programming errors in Android apps,10
Elaborating Requirements Using Model Checking and Inductive Learning,27
Eliminating Path Redundancy via Postconditioned Symbolic Execution,9
Eliminating navigation errors in web applications via model checking and runtime enforcement of navigation state machines,53
Embedding Polychrony into Synchrony,14
"Embedding, Evolution, and Validation of Model-Driven Spreadsheets",19
Empirical Principles and an Industrial Case Study in Retrieving Equivalent Requirements via Natural Language Processing Techniques,80
Empirical evaluation of a nesting testability transformation for evolutionary testing,55
Empirical study towards a leading indicator for cost of formal software verification,18
Empirically assessing opportunities for prefetching and caching in mobile apps,1
EnMobile: entity-based characterization and analysis of mobile malware,4
Enabledness-based program abstractions for behavior validation,17
Enabling mutation testing for Android apps,29
Energy profiles of Java collections classes,67
EnergyPatch: Repairing Resource Leaks to Improve Energy-Efficiency of Android Apps,15
Enforcing Exception Handling Policies with a Domain-Specific Language,9
Engineering Adaptive Model-Driven User Interfaces,19
Engineering Privacy,352
Engineering Trustworthy Self-Adaptive Software with Dynamic Assurance Cases,33
Engineering a Sound Assertion Semantics for the Verifying Compiler,13
Engineering adaptive privacy: on the role of privacy awareness requirements,41
Engineering of Framework-Specific Modeling Languages,70
Engineering parallel applications with tunable architectures,24
Enhanced Code Conversion Approach for the Integrated Cross-Platform Mobile Development (ICPMD),3
Enhanced Modeling and Solution of Layered Queueing Networks,193
Enhancing architecture-implementation conformance with change management and support for behavioral mapping,30
Enhancing symbolic execution with built-in term rewriting and constrained lazy initialization,23
Enhancing symbolic execution with veritesting,175
Enhancing the Description-to-Behavior Fidelity in Android Apps with Privacy Policy,11
Enlightened debugging,6
Ensuring interoperable service-oriented systems through engineered self-healing,36
Ensuring the Consistency of Adaptation through Inter- and Intra-Component Dependency Analysis,1
Entropy Based Software Reliability Analysis of Multi-Version Open Source Software,5
Entropy-based test generation for improved fault localization,48
Equality and hashing for (almost) free: Generating implementations from abstraction functions,17
Equality to Equals and Unequals: A Revisit of the Equivalence and Nonequivalence Criteria in Class-Level Testing of Object-Oriented Software,9
Estimating Semantic Relatedness in Source Code,13
Estimating mobile application energy consumption using program analysis,240
"Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities",292
Evaluating Dynamic Software Update Safety Using Systematic Testing,41
Evaluating Legal Implementation Readiness Decision-Making,2
Evaluating a query framework for software evolution data,10
Evaluating and improving fault localization,90
Evaluating non-adequate test-case reduction,16
Evaluating the evaluations of code recommender systems: a reality check,11
Evaluation of Accuracy in Design Pattern Occurrence Detection,62
Evaluation of string constraint solvers in the context of symbolic execution,22
Event Logs for the Analysis of Software Failures: A Rule-Based Approach,48
Evolution of software development strategies,6
Evolutionary Optimization of Software Quality Modeling with Multiple Repositories,114
Exact and approximate probabilistic symbolic execution for nondeterministic programs,38
Exact scalable sensitivity analysis for the next release problem,24
Examining the Potentially Confounding Effect of Class Size on the Associations between Object-Oriented Metrics and Change-Proneness,100
Exception Handling Patterns for Process Modeling,131
Exception Handling for Repair in Service-Based Processes,134
Exception handlers for healing component-based systems,11
Exemplar: A Source Code Search Engine for Finding Highly Relevant Applications,99
Expandable group identification in spreadsheets,2
Expanding Queries for Code Search Using Semantically Related API Class-names,3
"Expectations, outcomes, and challenges of modern code review",355
Experiences applying automated architecture analysis tool suites,1
Explaining inconsistent code,14
Explicating symbolic execution (xSymExe): an evidence-based verification framework,9
Exploiting Dynamic Information in IDEs Improves Speed and Correctness of Software Maintenance Tasks,37
Exploiting Model Morphology for Event-Based Testing,8
Exploiting the Essential Assumptions of Analogy-Based Effort Estimation,165
Exploring API embedding for API usages and applications,41
Exploring Mobile End User Development: Existing Use and Design Factors,9
Exploring language support for immutability,22
Exploring regular expression comprehension,13
Exploring the Relationship between Software Process Adaptive Capability and Organisational Performance,29
Exploring the impact of inter-smell relations on software maintainability: an empirical study,125
Exploring variability-aware execution for testing plugin-based web applications,77
Expositor: scriptable time-travel debugging with first-class traces,35
Expressive and Extensible Parameter Passing for Distributed Object Systems,3
Extending the UML Statecharts Notation to Model Security Aspects,17
Extracting Development Tasks to Navigate Software Documentation,34
Extracting and answering why and why not questions about Java program output,43
FAML: A Generic Metamodel for MAS Development,163
FAST approaches to scalable similarity-based test case prioritization,8
"FEATUREHOUSE: Language-independent, automated software composition",258
FEMOSAA: Feature-Guided and Knee-Driven Multi-Objective Optimization for Self-Adaptive Software,7
FaCoY: a code-to-code search engine,12
Facilitating Coordination between Software Developers: A Study and Techniques for Timely and Efficient Recommendations,9
Facilitating the transition from use case models to analysis models: Approach and experiments,99
Failure-directed program trimming,6
Fair and balanced?: bias in bug-fix datasets,325
FairFuzz: a targeted mutation strategy for increasing greybox fuzz testing coverage,19
Fairness testing: testing software for discrimination,46
Falcon: fault localization in concurrent programs,133
Fault Localization for Dynamic Web Applications,42
Fault localization prioritization: Comparing information-theoretic and coverage-based approaches,74
Feasibility of Stepwise Design of Multitolerant Programs,12
Feature maintenance with emergent interfaces,31
Feature model extraction from large collections of informal product descriptions,123
Feature-model interfaces: the highway to compositional analyses of highly-configurable systems,32
FeatureIDE: A tool framework for feature-oriented software development,218
Featured Transition Systems: Foundations for Verifying Variability-Intensive Systems and Their Application to LTL Model Checking,164
Featured model-based mutation analysis,36
Feedback-based debugging,15
Feedback-directed differential testing of interactive debuggers,1
Feedback-directed instrumentation for deployed JavaScript applications,13
Feedback-directed unit test generation for C/C++ using concolic execution,37
FiB: squeezing loop invariants by interpolation between Forward/Backward predicate transformers,5
Finding Atomicity-Violation Bugs through Unserializable Interleaving Testing,22
Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking,164
Finding access control bugs in web applications with CanCheck,4
Finding and Evaluating the Performance Impact of Redundant Data Access for Applications that are Developed Using Object-Relational Mapping Frameworks,18
Finding and analyzing compiler warning defects,17
Finding architectural flaws using constraints,16
Finding incorrect compositions of atomicity,20
Finding near-optimal configurations in product lines by random sampling,22
Finding relevant answers in software forums,74
Finding schedule-sensitive branches,16
Finding security bugs in web applications using a catalog of access control patterns,17
Fine-grained and accurate source code differencing,167
Fine-grained test minimization,4
Fine-tuning spectrum based fault localisation with frequent method item sets,23
Finite satisfiability of UML class diagrams with constrained class hierarchy,29
Fitting the pieces together: a machine-checked model of safe composition,74
Fixing Faults in C and Java Source Code: Abbreviated vs. Full-Word Identifier Names,4
Fixing deadlocks via lock pre-acquisitions,15
FlagRemover: A testability transformation for transforming loop-assigned flags,22
FlexJava: language support for safe and modular approximate programming,40
FlexSync: An aspect-oriented approach to Java synchronization,22
Flexible and scalable consistency checking on product line variability models,57
Flexible design pattern detection based on feature types,35
Floating-point precision tuning using blame analysis,28
Floating-point symbolic execution: a case study in n-version programming,15
FlowTalk: Language Support for Long-Latency Operations in Embedded Devices,4
Fluid Rewards for a Stochastic Process Algebra,30
Forecasting Java Software Evolution Trends Employing Network Models,21
Forecasting Risk Impact on ERP Maintenance with Augmented Fuzzy Cognitive Maps,87
Formal Analysis of the Probability of Interaction Fault Detection Using Random Testing,50
Formal Specification-Based Inspection for Verification of Programs,31
Formal Verification of Software Countermeasures against Side-Channel Attacks,29
Formalizing hardware/software interface specifications,11
Formulating Cost-Effective Monitoring Strategies for Service-Based Systems,22
Formulating Criticality-Based Cost-Effective Fault Tolerance Strategies for Multi-Tenant Service-Based Systems,8
Frameworks Generate Domain-Specific Languages: A Case Study in the Multimedia Domain,19
FraudDroid: automated ad fraud detection for Android apps,8
From UI design image to GUI skeleton: a neural machine translator to bootstrap mobile GUI implementation,12
From UML to Petri Nets: The PCM-Based Methodology,60
From behaviour preservation to behaviour modification: constraint-based mutant generation,10
From business process models to process-oriented software systems,241
From developer networks to verified communities: a fine-grained approach,37
From diversity by numbers to diversity as process: supporting inclusiveness in software development teams with brainstorming,10
From word embeddings to document similarities for improved information retrieval in software engineering,98
Fusion fault localizers,39
Fuzzy fine-grained code-history analysis,6
GALE: Geometric Active Learning for Search-Based Software Engineering,32
GEA: A Goal-Driven Approach toDiscovering Early Aspects,7
GK-Tail+ An Efficient Approach to Learn Software Models,11
GPredict: generic predictive concurrency analysis,22
GR(1) synthesis for LTL specification patterns,17
GUI Interaction Testing: Incorporating Event Context,187
GUILeak: tracing privacy policy claims on user input data for Android applications,5
Gaia-PL: A Product Line Engineering Approach for Efficiently Designing Multiagent Systems,18
Gamification for enforcing coding conventions,12
GenProg: A Generic Method for Automatic Software Repair,512
Generalized data structure synthesis,8
Generalized observational slicing for tree-represented modelling languages,6
Generalizing evolutionary coupling with stochastic dependencies,12
Generating API Call Rules from Version History and Stack Overflow Posts,14
Generating Complete Controllable Test Suites for Distributed Testing,9
Generating Domain-Specific Visual Language Tools from Abstract Visual Specifications,31
Generating Event Sequence-Based Test Cases Using GUI Runtime State Feedback,126
Generating TCP/UDP network data for automated unit test generation,10
Generating Test Cases for Programs that Are Coded against Interfaces and Annotations,11
Generating Test Cases for Real-Time Systems Based on Symbolic Models,20
Generating Test Data from OCL Constraints with Search Techniques,94
Generating obstacle conditions for requirements completeness,34
Generating performance distributions via probabilistic symbolic execution,21
Generating program inputs for database application testing,49
Generating range fixes for software configuration,96
Generating reusable web components from mockups,1
Generating simpler AST edit scripts by considering copy-and-paste,7
Genetic Algorithms for Randomized Unit Testing,87
Getting to know you: towards a capability model for Java,6
Glacier: transitive class immutability for Java,17
Global and Local Deadlock Freedom in BIP,3
Global-Aware Recommendations for Repairing Violations in Exception Handling,5
GoPrime: A Fully Decentralized Middleware for Utility-Aware Service Assembly,8
Goal-conflict detection based on temporal satisfiability checking,4
Goal-conflict likelihood assessment based on model counting,1
GossipKit: A Unified ComponentFramework for Gossip,11
Governing Software Process Improvementsin Globally Distributed Product Development,25
Grammar Recovery from Parse Trees and Metrics-Guided Grammar Refactoring,21
Graph-based analysis and prediction for software evolution,172
Graph-based mining of multiple object usage patterns,211
"Graph-based pattern-oriented, context-sensitive source code completion",115
Graph-based statistical language model for code,85
Gray computing: an analysis of computing with background JavaScript tasks,8
GreASE: A Tool for Efficient “Nonequivalence” Checking,10
Greedy combinatorial test case generation using unsatisfiable cores,15
Green streams for data-intensive software,27
GreenDroid: Automated Diagnosis of Energy Inefficiency for Smartphone Applications,76
Gremlin-ATL: a scalable model transformation framework,7
GuideArch: guiding the exploration of architectural solution space under uncertainty,39
Guided Mutation Testing for JavaScript Web Applications,25
Guided differential testing of certificate validation in SSL/TLS implementations,29
Guided test generation for database applications via synthesized database interactions,30
Guided test generation for web applications,44
"Guided, stochastic model-based GUI testing of Android apps",48
Guidelines for Coverage-Based Comparisons of Non-Adequate Test Suites,19
Guiding dynamic symbolic execution toward unverified program executions,39
"HAMPI: A solver for word equations over strings, regular expressions, and context-free grammars",42
HOLMES: Effective statistical debugging via efficient path profiling,272
HYDRA: Massively Compositional Model for Cross-Project Defect Prediction,88
Has the bug really been fixed?,81
Heap cloning: Enabling dynamic symbolic execution of java programs,9
Helping developers help themselves: automatic decomposition of code review changesets,66
Hercules: reproducing crashes in real-world application binaries,20
Heterogeneous Defect Prediction,95
Heterogeneous cross-company defect prediction by unified metric representation and CCA-based transfer learning,77
Heuristically matching solution spaces of arithmetic formulas to efficiently reuse solutions,6
"Hey, you have given me too many knobs!: understanding and dealing with over-designed configuration in system software",66
Hidden truths in dead software paths,8
Hierarchical Program Paths,4
HireBuild: an automatic approach to history-driven repair of build scripts,10
History slicing,30
"Hope for the best, prepare for the worst: multi-tier control for adaptive systems",40
How Developers' Experience and Ability Influence Web Application Comprehension Tasks Supported by UML Stereotypes: A Series of Four Experiments,79
How Effectively Does Metamorphic Testing Alleviate the Oracle Problem?,94
How Far We Have Progressed in the Journey? An Examination of Cross-Project Defect Prediction,13
"How Programmers Debug, Revisited: An Information Foraging Theory Perspective",119
How Reliable Are Systematic Reviews in Empirical Software Engineering?,83
How Social and Communication Channels Shape and Challenge a Participatory Culture in Software Development,59
How Software Designers Interact with Sketches at the Whiteboard,21
How Software Developers Use Tagging to Support Reminding and Refinding,63
"How We Refactor, and How We Know It",493
How Well Do Search Engines Support Code Retrieval on the Web?,54
How can I use this method?,65
How developers search for code: a case study,64
How did you specify your test suite,32
How do API documentation and static typing affect API usability?,50
How do centralized and distributed version control systems impact software changes?,77
How do developers fix cross-project correlated bugs?: a case study on the GitHub scientific python ecosystem,25
How do professional developers comprehend software?,147
How do professionals perceive legacy systems and software modernization?,40
How does regression test prioritization perform in real-world software evolution?,39
How does the degree of variability affect bug finding?,41
How good are the specs? a study of the bug-finding effectiveness of existing Java API specifications,14
How good is a security policy against real breaches?: a HIPAA case study,9
How many of all bugs do we find? a study of static bug detectors,7
How modern news aggregators help development communities shape and share knowledge,12
How much up-front?: a grounded theory of agile architecture,25
How not to structure your database-backed web applications: a study of performance bugs in the wild,8
How practitioners perceive the relevance of software engineering research,64
How should compilers explain problems to developers?,2
How tagging helps bridge the gap between social and technical aspects in software development,81
How to avoid drastic software process change (using stochastic stability),28
